confidence,radius,position,id
0.6426728402862204,120,"(1095, 345)",200002_001
0.6428728893268492,120,"(1020, 270)",200002_001
0.643810759276569,120,"(945, 345)",200002_001
0.6443344561802268,120,"(195, 345)",200002_001
0.6443388897082462,120,"(1020, 345)",200002_001
0.6454110004326243,120,"(720, 120)",200002_001
0.6471266961951262,120,"(870, 195)",200002_001
0.6505103103867919,120,"(945, 270)",200002_001
0.6531578865817004,120,"(795, 195)",200002_001
0.6534602273236572,120,"(270, 420)",200002_001
0.6552154594993133,120,"(120, 345)",200002_001
0.656834350868885,120,"(870, 420)",200002_001
0.6575257518534131,120,"(870, 345)",200002_001
0.6580939474161017,120,"(870, 270)",200002_001
0.6584094140857519,120,"(720, 195)",200002_001
0.6591493365304514,120,"(945, 570)",200002_001
0.6621824525367203,120,"(345, 420)",200002_001
0.6630986793822313,120,"(870, 495)",200002_001
0.6655825516966335,120,"(795, 270)",200002_001
0.6682601815600742,120,"(195, 420)",200002_001
0.6721560555608085,120,"(720, 270)",200002_001
0.674591139628743,120,"(270, 495)",200002_001
0.6757155604764168,120,"(795, 345)",200002_001
0.679951475294998,120,"(345, 495)",200002_001
0.6822880052014948,120,"(795, 420)",200002_001
0.68353525215578,120,"(120, 420)",200002_001
0.6860969318456064,120,"(720, 345)",200002_001
0.692941019201478,120,"(870, 570)",200002_001
0.704554050111986,120,"(195, 495)",200002_001
0.7123696691756065,120,"(120, 495)",200002_001
0.7299287070698272,120,"(270, 570)",200002_001
0.7339435701920347,120,"(345, 570)",200002_001
0.7469156727828299,120,"(120, 570)",200002_001
0.7499245638052401,120,"(195, 570)",200002_001
0.0,120,"(195, 120)",200002_002
0.0,120,"(270, 120)",200002_002
0.0,120,"(345, 120)",200002_002
0.0,120,"(420, 120)",200002_002
0.0,120,"(495, 120)",200002_002
0.0,120,"(570, 120)",200002_002
0.0,120,"(645, 120)",200002_002
0.0,120,"(195, 195)",200002_002
0.0,120,"(270, 195)",200002_002
0.0,120,"(345, 195)",200002_002
0.0,120,"(420, 195)",200002_002
0.0,120,"(495, 195)",200002_002
0.0,120,"(570, 195)",200002_002
0.0,120,"(645, 195)",200002_002
0.0,120,"(195, 270)",200002_002
0.0,120,"(270, 270)",200002_002
0.0,120,"(345, 270)",200002_002
0.0,120,"(420, 270)",200002_002
0.0,120,"(495, 270)",200002_002
0.0,120,"(570, 270)",200002_002
0.0,120,"(645, 270)",200002_002
0.0,120,"(270, 345)",200002_002
0.0,120,"(345, 345)",200002_002
0.0,120,"(420, 345)",200002_002
0.0,120,"(495, 345)",200002_002
0.0,120,"(570, 345)",200002_002
0.0,120,"(645, 345)",200002_002
0.0,120,"(420, 420)",200002_002
0.0,120,"(495, 420)",200002_002
0.0,120,"(570, 420)",200002_002
0.0,120,"(645, 420)",200002_002
0.0,120,"(720, 420)",200002_002
0.0,120,"(420, 495)",200002_002
0.0,120,"(495, 495)",200002_002
0.0,120,"(570, 495)",200002_002
0.0,120,"(645, 495)",200002_002
0.0,120,"(720, 495)",200002_002
0.0,120,"(795, 495)",200002_002
0.0,120,"(420, 570)",200002_002
0.0,120,"(495, 570)",200002_002
0.0,120,"(570, 570)",200002_002
0.0,120,"(645, 570)",200002_002
0.0,120,"(720, 570)",200002_002
0.0,120,"(795, 570)",200002_002
0.5743365821053587,120,"(120, 120)",200002_002
0.5866559720123703,120,"(120, 195)",200002_002
0.6100933853891343,120,"(1095, 570)",200002_002
0.6156377946342071,120,"(120, 270)",200002_002
0.6164452609870412,120,"(1095, 120)",200002_002
0.6234356960260746,120,"(1020, 120)",200002_002
0.6250606091361722,120,"(1020, 420)",200002_002
0.6255786983657277,120,"(1095, 195)",200002_002
0.629084760356776,120,"(1020, 495)",200002_002
0.6292514315976409,120,"(945, 420)",200002_002
0.629931066338548,120,"(945, 120)",200002_002
0.6306115220678242,120,"(1020, 570)",200002_002
0.630808397599978,120,"(1095, 495)",200002_002
0.6331955961872486,120,"(1020, 195)",200002_002
0.6344718167923308,120,"(1095, 270)",200002_002
0.6358327007124164,120,"(870, 120)",200002_002
0.6364380859116938,120,"(945, 495)",200002_002
0.6403821742531935,120,"(945, 195)",200002_002
0.6403830732193905,120,"(1095, 420)",200002_002
0.6410197803433926,120,"(795, 120)",200002_002
0.6424634918392131,120,"(195, 345)",200002_002
0.6425814933307763,120,"(1095, 345)",200002_002
0.6426311172921342,120,"(945, 345)",200002_002
0.6427922419244626,120,"(1020, 270)",200002_002
0.6438320721739479,120,"(1020, 345)",200002_002
0.64534226502707,120,"(720, 120)",200002_002
0.6470457566871317,120,"(870, 195)",200002_002
0.6503767898282345,120,"(945, 270)",200002_002
0.6515996787144767,120,"(270, 420)",200002_002
0.6530727023950278,120,"(795, 195)",200002_002
0.6537480862545679,120,"(120, 345)",200002_002
0.6552896148494665,120,"(870, 420)",200002_002
0.6565598749935982,120,"(870, 345)",200002_002
0.657954414662983,120,"(870, 270)",200002_002
0.6583200836022232,120,"(720, 195)",200002_002
0.6585454121029726,120,"(945, 570)",200002_002
0.6605843603179195,120,"(345, 420)",200002_002
0.6613882341861607,120,"(870, 495)",200002_002
0.6654837506098356,120,"(795, 270)",200002_002
0.6680805126773481,120,"(195, 420)",200002_002
0.6720496611347638,120,"(720, 270)",200002_002
0.6747746614964069,120,"(270, 495)",200002_002
0.6754106568114164,120,"(795, 345)",200002_002
0.6801105107510126,120,"(345, 495)",200002_002
0.6816544590254672,120,"(795, 420)",200002_002
0.6833424451019902,120,"(120, 420)",200002_002
0.6859802978376871,120,"(720, 345)",200002_002
0.6924980749511943,120,"(870, 570)",200002_002
0.7048211623495506,120,"(195, 495)",200002_002
0.7124889118519678,120,"(120, 495)",200002_002
0.7319643106074328,120,"(270, 570)",200002_002
0.7359183463919854,120,"(345, 570)",200002_002
0.7470292602716543,120,"(120, 570)",200002_002
0.7501712610942015,120,"(195, 570)",200002_002
0.0,120,"(195, 120)",200002_003
0.0,120,"(270, 120)",200002_003
0.0,120,"(345, 120)",200002_003
0.0,120,"(420, 120)",200002_003
0.0,120,"(495, 120)",200002_003
0.0,120,"(570, 120)",200002_003
0.0,120,"(645, 120)",200002_003
0.0,120,"(270, 195)",200002_003
0.0,120,"(345, 195)",200002_003
0.0,120,"(420, 195)",200002_003
0.0,120,"(495, 195)",200002_003
0.0,120,"(570, 195)",200002_003
0.0,120,"(645, 195)",200002_003
0.0,120,"(270, 270)",200002_003
0.0,120,"(345, 270)",200002_003
0.0,120,"(420, 270)",200002_003
0.0,120,"(495, 270)",200002_003
0.0,120,"(570, 270)",200002_003
0.0,120,"(645, 270)",200002_003
0.0,120,"(420, 345)",200002_003
0.0,120,"(495, 345)",200002_003
0.0,120,"(570, 345)",200002_003
0.0,120,"(645, 345)",200002_003
0.0,120,"(720, 345)",200002_003
0.0,120,"(420, 420)",200002_003
0.0,120,"(495, 420)",200002_003
0.0,120,"(570, 420)",200002_003
0.0,120,"(645, 420)",200002_003
0.0,120,"(720, 420)",200002_003
0.0,120,"(795, 420)",200002_003
0.0,120,"(420, 495)",200002_003
0.0,120,"(495, 495)",200002_003
0.0,120,"(570, 495)",200002_003
0.0,120,"(645, 495)",200002_003
0.0,120,"(720, 495)",200002_003
0.0,120,"(795, 495)",200002_003
0.0,120,"(420, 570)",200002_003
0.0,120,"(495, 570)",200002_003
0.0,120,"(570, 570)",200002_003
0.0,120,"(645, 570)",200002_003
0.0,120,"(720, 570)",200002_003
0.5664085823830312,120,"(120, 120)",200002_003
0.5716371035332797,120,"(1095, 570)",200002_003
0.585473874059772,120,"(120, 195)",200002_003
0.590234527025505,120,"(195, 195)",200002_003
0.613658159469041,120,"(1095, 120)",200002_003
0.6147944550226644,120,"(195, 270)",200002_003
0.6182771430927558,120,"(345, 345)",200002_003
0.6204249070311457,120,"(1020, 120)",200002_003
0.6224286495191521,120,"(270, 345)",200002_003
0.6228011673715734,120,"(1095, 495)",200002_003
0.6235444363997491,120,"(120, 270)",200002_003
0.6238382149499256,120,"(1095, 195)",200002_003
0.6266629213052358,120,"(945, 120)",200002_003
0.6313280328256512,120,"(1020, 195)",200002_003
0.6322758643707804,120,"(870, 120)",200002_003
0.633824963221257,120,"(1095, 270)",200002_003
0.6371553432167449,120,"(795, 120)",200002_003
0.6383680856781783,120,"(945, 195)",200002_003
0.6386730745925551,120,"(1020, 420)",200002_003
0.6389768111691827,120,"(345, 420)",200002_003
0.6391528020361865,120,"(1095, 420)",200002_003
0.640364486992969,120,"(1020, 345)",200002_003
0.6411797568527424,120,"(720, 120)",200002_003
0.6417088534531236,120,"(1095, 345)",200002_003
0.6420141775833096,120,"(1020, 270)",200002_003
0.6438312170166992,120,"(195, 345)",200002_003
0.644020053592272,120,"(270, 420)",200002_003
0.6448730037246476,120,"(870, 195)",200002_003
0.6462553589372527,120,"(1020, 495)",200002_003
0.6471183200878543,120,"(945, 420)",200002_003
0.6471256893539357,120,"(945, 345)",200002_003
0.6475243800890835,120,"(1020, 570)",200002_003
0.6486374717802643,120,"(945, 270)",200002_003
0.6507570974651274,120,"(795, 195)",200002_003
0.6559544969746534,120,"(720, 195)",200002_003
0.6565415955239894,120,"(870, 270)",200002_003
0.6581264969163088,120,"(945, 495)",200002_003
0.6617898231759483,120,"(870, 345)",200002_003
0.663053462216348,120,"(120, 345)",200002_003
0.6647210061613472,120,"(795, 270)",200002_003
0.6693298485370274,120,"(870, 420)",200002_003
0.6713715771255413,120,"(720, 270)",200002_003
0.6768665596512075,120,"(795, 345)",200002_003
0.6815637465146309,120,"(195, 420)",200002_003
0.682549993435483,120,"(870, 495)",200002_003
0.6834574266175999,120,"(945, 570)",200002_003
0.686607516774472,120,"(345, 495)",200002_003
0.6937493498293925,120,"(120, 420)",200002_003
0.6963363112377313,120,"(270, 495)",200002_003
0.703447359245426,120,"(870, 570)",200002_003
0.7168282898787299,120,"(795, 570)",200002_003
0.7256423915892963,120,"(195, 495)",200002_003
0.7256579448026912,120,"(120, 495)",200002_003
0.752541847687271,120,"(270, 570)",200002_003
0.7546793565063676,120,"(120, 570)",200002_003
0.7570429063724851,120,"(345, 570)",200002_003
0.7581824467116839,120,"(195, 570)",200002_003
0.0,120,"(270, 120)",200002_004
0.0,120,"(345, 120)",200002_004
0.0,120,"(420, 120)",200002_004
0.0,120,"(495, 120)",200002_004
0.0,120,"(570, 120)",200002_004
0.0,120,"(645, 120)",200002_004
0.0,120,"(345, 195)",200002_004
0.0,120,"(420, 195)",200002_004
0.0,120,"(495, 195)",200002_004
0.0,120,"(570, 195)",200002_004
0.5424487282722157,120,"(195, 120)",200002_004
0.544239209810106,120,"(120, 120)",200002_004
0.5803992894471831,120,"(270, 195)",200002_004
0.5809283302390469,120,"(195, 195)",200002_004
0.5876826566885955,120,"(120, 195)",200002_004
0.5960328381886052,120,"(1095, 570)",200002_004
0.598820269053017,120,"(345, 270)",200002_004
0.5991447170158082,120,"(270, 270)",200002_004
0.6151910199630695,120,"(345, 345)",200002_004
0.6155097248553397,120,"(1095, 120)",200002_004
0.6183319562923171,120,"(270, 345)",200002_004
0.6183451374045998,120,"(195, 270)",200002_004
0.621796703491324,120,"(1020, 120)",200002_004
0.6274209151604242,120,"(945, 120)",200002_004
0.6287898752665789,120,"(1095, 195)",200002_004
0.6322361252954765,120,"(870, 120)",200002_004
0.6352780270489465,120,"(120, 270)",200002_004
0.6353679314450016,120,"(1095, 495)",200002_004
0.6360700857207249,120,"(795, 120)",200002_004
0.6361805529870572,120,"(1020, 195)",200002_004
0.6387390137473473,120,"(720, 120)",200002_004
0.6405111436005371,120,"(420, 270)",200002_004
0.6417609420480866,120,"(1095, 270)",200002_004
0.6421694293012397,120,"(420, 345)",200002_004
0.6429662348711267,120,"(945, 195)",200002_004
0.6484454189905412,120,"(1020, 345)",200002_004
0.6485644090065708,120,"(1020, 270)",200002_004
0.6492642688428916,120,"(870, 195)",200002_004
0.6513315957067252,120,"(1095, 345)",200002_004
0.6515927371896082,120,"(945, 270)",200002_004
0.6545788417323314,120,"(195, 345)",200002_004
0.6546648423037494,120,"(945, 345)",200002_004
0.6549216392971077,120,"(795, 195)",200002_004
0.6560998895797934,120,"(345, 420)",200002_004
0.6573489040897083,120,"(1095, 420)",200002_004
0.6596219032338921,120,"(720, 195)",200002_004
0.6604638970777841,120,"(1020, 420)",200002_004
0.6607572479166437,120,"(870, 270)",200002_004
0.663115347192357,120,"(645, 195)",200002_004
0.6632629867087868,120,"(495, 270)",200002_004
0.6664811949625136,120,"(270, 420)",200002_004
0.6668603916265211,120,"(945, 420)",200002_004
0.6709715505669821,120,"(870, 345)",200002_004
0.6716370134912356,120,"(120, 345)",200002_004
0.673346309383163,120,"(795, 270)",200002_004
0.675203611153865,120,"(1020, 495)",200002_004
0.6758375956552473,120,"(570, 270)",200002_004
0.678896480711639,120,"(645, 270)",200002_004
0.6804140700648085,120,"(720, 270)",200002_004
0.6820949709424937,120,"(495, 345)",200002_004
0.6839452216462906,120,"(870, 420)",200002_004
0.685211465937904,120,"(1020, 570)",200002_004
0.6853156586569894,120,"(420, 420)",200002_004
0.6869454326064541,120,"(945, 495)",200002_004
0.6885298105131842,120,"(795, 345)",200002_004
0.6966593372926368,120,"(645, 345)",200002_004
0.6993209441432933,120,"(720, 345)",200002_004
0.7013965123596805,120,"(570, 345)",200002_004
0.7039376373919474,120,"(195, 420)",200002_004
0.7069349637941602,120,"(795, 420)",200002_004
0.7075258570854865,120,"(870, 495)",200002_004
0.710608509304065,120,"(945, 570)",200002_004
0.7111698944868763,120,"(120, 420)",200002_004
0.7135864082995462,120,"(495, 420)",200002_004
0.7208171115190894,120,"(720, 420)",200002_004
0.7210449833689297,120,"(645, 420)",200002_004
0.722952926748959,120,"(570, 420)",200002_004
0.7254687230670178,120,"(870, 570)",200002_004
0.7262742790522921,120,"(795, 495)",200002_004
0.7315423659147391,120,"(345, 495)",200002_004
0.7384429929585139,120,"(420, 495)",200002_004
0.7399196259050865,120,"(795, 570)",200002_004
0.7401456723694788,120,"(720, 495)",200002_004
0.7409546856248158,120,"(270, 495)",200002_004
0.7525878868546464,120,"(645, 495)",200002_004
0.7543942138520364,120,"(120, 495)",200002_004
0.7550284879802315,120,"(720, 570)",200002_004
0.7568242649647892,120,"(495, 495)",200002_004
0.7569753134442336,120,"(195, 495)",200002_004
0.7616971198994414,120,"(570, 495)",200002_004
0.7709852949281516,120,"(645, 570)",200002_004
0.7869353346082595,120,"(120, 570)",200002_004
0.7876877486946958,120,"(570, 570)",200002_004
0.7988052860435334,120,"(195, 570)",200002_004
0.802825601534746,120,"(495, 570)",200002_004
0.8049693590934655,120,"(270, 570)",200002_004
0.810491306918002,120,"(345, 570)",200002_004
0.81052941659019,120,"(420, 570)",200002_004
0.43134140700062085,120,"(1095, 570)",200002_005
0.46646176852239124,120,"(1095, 495)",200002_005
0.5200781653690932,120,"(270, 120)",200002_005
0.5265482291612336,120,"(1095, 120)",200002_005
0.5278850825247314,120,"(345, 120)",200002_005
0.5291807366668692,120,"(1095, 420)",200002_005
0.52932254722097,120,"(195, 120)",200002_005
0.5350966987537094,120,"(345, 195)",200002_005
0.5352576972971693,120,"(270, 195)",200002_005
0.5377513514823583,120,"(1095, 195)",200002_005
0.5429199840624289,120,"(1020, 120)",200002_005
0.5475952043973886,120,"(1095, 270)",200002_005
0.5515919649547439,120,"(270, 270)",200002_005
0.5528496632184154,120,"(345, 270)",200002_005
0.554296071920644,120,"(1020, 570)",200002_005
0.5543265343618446,120,"(1020, 495)",200002_005
0.5543612874533885,120,"(1095, 345)",200002_005
0.5549674481204149,120,"(1020, 195)",200002_005
0.5560839286808101,120,"(195, 195)",200002_005
0.5569301946141297,120,"(120, 120)",200002_005
0.5585904802132998,120,"(945, 120)",200002_005
0.5646771286513134,120,"(1020, 270)",200002_005
0.5686546391238793,120,"(345, 345)",200002_005
0.570916971212978,120,"(945, 195)",200002_005
0.5723721424278746,120,"(1020, 345)",200002_005
0.5729839594894174,120,"(1020, 420)",200002_005
0.5733755738055759,120,"(870, 120)",200002_005
0.5767220828332288,120,"(120, 195)",200002_005
0.5776325307853925,120,"(420, 120)",200002_005
0.5792269938453001,120,"(945, 270)",200002_005
0.5798439908127618,120,"(270, 345)",200002_005
0.5826107605111658,120,"(420, 270)",200002_005
0.5837975297512056,120,"(420, 195)",200002_005
0.5846584291827708,120,"(870, 195)",200002_005
0.5858550823568066,120,"(195, 270)",200002_005
0.5871114490654644,120,"(795, 120)",200002_005
0.5886267787291666,120,"(945, 345)",200002_005
0.5934968186535486,120,"(495, 120)",200002_005
0.5956142436568144,120,"(870, 270)",200002_005
0.5956521085171097,120,"(120, 270)",200002_005
0.5985634880623448,120,"(420, 345)",200002_005
0.59867568793875,120,"(945, 420)",200002_005
0.59951316210249,120,"(720, 120)",200002_005
0.5999465203517935,120,"(795, 195)",200002_005
0.6059487710669912,120,"(945, 495)",200002_005
0.6061909680691001,120,"(870, 345)",200002_005
0.6100281087338365,120,"(645, 120)",200002_005
0.6108252375411365,120,"(945, 570)",200002_005
0.6109890084574119,120,"(495, 195)",200002_005
0.6124452827952781,120,"(795, 270)",200002_005
0.6145781487284119,120,"(570, 120)",200002_005
0.6146258339671121,120,"(720, 195)",200002_005
0.6146569418465324,120,"(570, 195)",200002_005
0.6165541663137674,120,"(645, 195)",200002_005
0.6178381894875444,120,"(495, 270)",200002_005
0.6178737687559493,120,"(870, 420)",200002_005
0.620936272805507,120,"(345, 420)",200002_005
0.6214091908499648,120,"(195, 345)",200002_005
0.6235351591715284,120,"(120, 345)",200002_005
0.6245911613371312,120,"(795, 345)",200002_005
0.6246821362479219,120,"(645, 270)",200002_005
0.6249417503123366,120,"(720, 270)",200002_005
0.6272927151800178,120,"(870, 495)",200002_005
0.6315637250810279,120,"(870, 570)",200002_005
0.6323136911033825,120,"(570, 270)",200002_005
0.6365233953794248,120,"(420, 420)",200002_005
0.6368384937410494,120,"(495, 345)",200002_005
0.6371178394264275,120,"(270, 420)",200002_005
0.6380845773623661,120,"(795, 420)",200002_005
0.6413837782193126,120,"(720, 345)",200002_005
0.6417370495255503,120,"(645, 345)",200002_005
0.6465358704236919,120,"(570, 345)",200002_005
0.6468847282777719,120,"(795, 495)",200002_005
0.6517693845084402,120,"(795, 570)",200002_005
0.6568143152730833,120,"(720, 420)",200002_005
0.6590207224151052,120,"(120, 420)",200002_005
0.6632996850013885,120,"(195, 420)",200002_005
0.6660664425890336,120,"(720, 495)",200002_005
0.6683336986659821,120,"(495, 420)",200002_005
0.6707128756663419,120,"(645, 420)",200002_005
0.6718847406849604,120,"(720, 570)",200002_005
0.6762291436961676,120,"(570, 420)",200002_005
0.6846797085209496,120,"(645, 495)",200002_005
0.6898433520874653,120,"(120, 495)",200002_005
0.691841588326032,120,"(645, 570)",200002_005
0.6940465870172643,120,"(345, 495)",200002_005
0.6947381454354372,120,"(420, 495)",200002_005
0.6991065857837717,120,"(270, 495)",200002_005
0.7016323728337608,120,"(195, 495)",200002_005
0.7016418411666578,120,"(570, 495)",200002_005
0.7026981319856893,120,"(120, 570)",200002_005
0.7058144186797526,120,"(495, 495)",200002_005
0.7114823185167926,120,"(570, 570)",200002_005
0.7205893129713452,120,"(195, 570)",200002_005
0.7302912482066986,120,"(495, 570)",200002_005
0.7363682510545101,120,"(270, 570)",200002_005
0.7450143394938107,120,"(420, 570)",200002_005
0.7477337504328311,120,"(345, 570)",200002_005
0.4370844559095306,120,"(1095, 570)",200002_006
0.45343504045315824,120,"(1095, 495)",200002_006
0.505113963036149,120,"(345, 120)",200002_006
0.5128201286312154,120,"(1095, 420)",200002_006
0.5199979117490963,120,"(270, 120)",200002_006
0.5265482291612336,120,"(1095, 120)",200002_006
0.5276070543729143,120,"(345, 195)",200002_006
0.5350671653924968,120,"(420, 120)",200002_006
0.5351962197995437,120,"(270, 195)",200002_006
0.5377513514823583,120,"(1095, 195)",200002_006
0.5429199840624289,120,"(1020, 120)",200002_006
0.5434251314986527,120,"(195, 120)",200002_006
0.5463242585402285,120,"(345, 270)",200002_006
0.5470051348453044,120,"(1095, 270)",200002_006
0.5517650334356374,120,"(1095, 345)",200002_006
0.5517732937878639,120,"(1020, 495)",200002_006
0.5546694226877623,120,"(1020, 195)",200002_006
0.5570999078753417,120,"(120, 120)",200002_006
0.5577834462571579,120,"(420, 195)",200002_006
0.5585904802132998,120,"(945, 120)",200002_006
0.5588010077283557,120,"(270, 270)",200002_006
0.5602787894497392,120,"(1020, 570)",200002_006
0.5604440232564234,120,"(1020, 270)",200002_006
0.5632510180037774,120,"(420, 270)",200002_006
0.5639865795648299,120,"(495, 120)",200002_006
0.5665456219271571,120,"(1020, 420)",200002_006
0.5683664309582127,120,"(1020, 345)",200002_006
0.5701877711142367,120,"(945, 195)",200002_006
0.5707352854436439,120,"(195, 195)",200002_006
0.573393465733819,120,"(870, 120)",200002_006
0.576089879560075,120,"(345, 345)",200002_006
0.5774640777411206,120,"(120, 195)",200002_006
0.5775231517600885,120,"(945, 270)",200002_006
0.5864559261099608,120,"(945, 345)",200002_006
0.5867509526044941,120,"(870, 195)",200002_006
0.5871201869839087,120,"(795, 120)",200002_006
0.5871925241071313,120,"(570, 120)",200002_006
0.5928167906757341,120,"(495, 195)",200002_006
0.5955394513657114,120,"(945, 420)",200002_006
0.5964762289090568,120,"(870, 270)",200002_006
0.5965458646542772,120,"(645, 120)",200002_006
0.5974678155031377,120,"(420, 345)",200002_006
0.597736191961727,120,"(720, 120)",200002_006
0.6000087660682472,120,"(270, 345)",200002_006
0.6002868989187283,120,"(195, 270)",200002_006
0.6015765732565765,120,"(120, 270)",200002_006
0.6022673218928731,120,"(795, 195)",200002_006
0.6048459277240701,120,"(645, 195)",200002_006
0.6049363716572274,120,"(570, 195)",200002_006
0.6059257820196557,120,"(945, 495)",200002_006
0.6065064693386412,120,"(870, 345)",200002_006
0.6082698304816213,120,"(720, 195)",200002_006
0.6108068697337186,120,"(495, 270)",200002_006
0.6108742322981274,120,"(945, 570)",200002_006
0.61576548375842,120,"(795, 270)",200002_006
0.6179911585293345,120,"(870, 420)",200002_006
0.6229594140175004,120,"(645, 270)",200002_006
0.6262028191849529,120,"(720, 270)",200002_006
0.6273604340479608,120,"(870, 495)",200002_006
0.6279449616771481,120,"(795, 345)",200002_006
0.6284191280367883,120,"(570, 270)",200002_006
0.6315637250810279,120,"(870, 570)",200002_006
0.6365662041885642,120,"(120, 345)",200002_006
0.638217461171629,120,"(195, 345)",200002_006
0.6389672631594945,120,"(795, 420)",200002_006
0.6429543709653038,120,"(345, 420)",200002_006
0.6448517956361366,120,"(720, 345)",200002_006
0.6453740745807522,120,"(420, 420)",200002_006
0.6453930199208194,120,"(495, 345)",200002_006
0.6468847282777719,120,"(795, 495)",200002_006
0.6517693845084402,120,"(795, 570)",200002_006
0.6556762659351767,120,"(645, 345)",200002_006
0.6568444297083086,120,"(570, 345)",200002_006
0.6568614896303984,120,"(720, 420)",200002_006
0.6596051325998294,120,"(270, 420)",200002_006
0.6660664425890336,120,"(720, 495)",200002_006
0.6715770071966696,120,"(120, 420)",200002_006
0.6718847406849604,120,"(720, 570)",200002_006
0.6737116980695607,120,"(645, 420)",200002_006
0.6737832471357196,120,"(495, 420)",200002_006
0.6773711664503231,120,"(195, 420)",200002_006
0.6844292120533327,120,"(570, 420)",200002_006
0.6846797085209496,120,"(645, 495)",200002_006
0.691841588326032,120,"(645, 570)",200002_006
0.6948742606431678,120,"(120, 495)",200002_006
0.7022048647807003,120,"(570, 495)",200002_006
0.703310514436658,120,"(120, 570)",200002_006
0.7087639706040184,120,"(195, 495)",200002_006
0.7096054910356571,120,"(345, 495)",200002_006
0.7114823185167926,120,"(570, 570)",200002_006
0.711661048925263,120,"(420, 495)",200002_006
0.712030539288446,120,"(270, 495)",200002_006
0.7143647839459777,120,"(495, 495)",200002_006
0.7211121837696796,120,"(195, 570)",200002_006
0.7303547541496773,120,"(495, 570)",200002_006
0.7384956221271716,120,"(270, 570)",200002_006
0.7463034945328549,120,"(420, 570)",200002_006
0.7504477583039025,120,"(345, 570)",200002_006
0.0,120,"(420, 120)",200002_007
0.0,120,"(495, 120)",200002_007
0.0,120,"(570, 120)",200002_007
0.0,120,"(645, 120)",200002_007
0.0,120,"(720, 120)",200002_007
0.0,120,"(795, 120)",200002_007
0.0,120,"(420, 195)",200002_007
0.0,120,"(495, 195)",200002_007
0.0,120,"(570, 195)",200002_007
0.0,120,"(645, 195)",200002_007
0.0,120,"(720, 195)",200002_007
0.0,120,"(795, 195)",200002_007
0.0,120,"(420, 270)",200002_007
0.0,120,"(495, 270)",200002_007
0.0,120,"(570, 270)",200002_007
0.0,120,"(645, 270)",200002_007
0.0,120,"(720, 270)",200002_007
0.0,120,"(795, 270)",200002_007
0.0,120,"(495, 345)",200002_007
0.0,120,"(570, 345)",200002_007
0.0,120,"(645, 345)",200002_007
0.0,120,"(720, 345)",200002_007
0.5289319663003663,120,"(1095, 570)",200002_007
0.534845282934824,120,"(345, 120)",200002_007
0.5356603284459294,120,"(1095, 495)",200002_007
0.5564473399064246,120,"(270, 120)",200002_007
