confidence,radius,position,id
0.0,120,"(195, 120)",200002_001
0.0,120,"(270, 120)",200002_001
0.0,120,"(345, 120)",200002_001
0.0,120,"(420, 120)",200002_001
0.0,120,"(495, 120)",200002_001
0.0,120,"(570, 120)",200002_001
0.0,120,"(645, 120)",200002_001
0.0,120,"(195, 195)",200002_001
0.0,120,"(270, 195)",200002_001
0.0,120,"(345, 195)",200002_001
0.0,120,"(420, 195)",200002_001
0.0,120,"(495, 195)",200002_001
0.0,120,"(570, 195)",200002_001
0.0,120,"(645, 195)",200002_001
0.0,120,"(195, 270)",200002_001
0.0,120,"(270, 270)",200002_001
0.0,120,"(345, 270)",200002_001
0.0,120,"(420, 270)",200002_001
0.0,120,"(495, 270)",200002_001
0.0,120,"(570, 270)",200002_001
0.0,120,"(645, 270)",200002_001
0.0,120,"(270, 345)",200002_001
0.0,120,"(345, 345)",200002_001
0.0,120,"(420, 345)",200002_001
0.0,120,"(495, 345)",200002_001
0.0,120,"(570, 345)",200002_001
0.0,120,"(645, 345)",200002_001
0.0,120,"(420, 420)",200002_001
0.0,120,"(495, 420)",200002_001
0.0,120,"(570, 420)",200002_001
0.0,120,"(645, 420)",200002_001
0.0,120,"(720, 420)",200002_001
0.0,120,"(420, 495)",200002_001
0.0,120,"(495, 495)",200002_001
0.0,120,"(570, 495)",200002_001
0.0,120,"(645, 495)",200002_001
0.0,120,"(720, 495)",200002_001
0.0,120,"(795, 495)",200002_001
0.0,120,"(420, 570)",200002_001
0.0,120,"(495, 570)",200002_001
0.0,120,"(570, 570)",200002_001
0.0,120,"(645, 570)",200002_001
0.0,120,"(720, 570)",200002_001
0.0,120,"(795, 570)",200002_001
0.5780362443445715,120,"(120, 120)",200002_001
0.5897423455339477,120,"(120, 195)",200002_001
0.6093450188534117,120,"(1095, 570)",200002_001
0.6165097024333172,120,"(1095, 120)",200002_001
0.6180523157929707,120,"(120, 270)",200002_001
0.6235017486479358,120,"(1020, 120)",200002_001
0.6256494579302863,120,"(1095, 195)",200002_001
0.6268349433251104,120,"(1020, 420)",200002_001
0.6299987268849986,120,"(945, 120)",200002_001
0.63021205756776,120,"(1020, 495)",200002_001
0.6304400381705298,120,"(1020, 570)",200002_001
0.6309670684801741,120,"(1095, 495)",200002_001
0.6314337237634529,120,"(945, 420)",200002_001
0.6332692454028891,120,"(1020, 195)",200002_001
0.634547545826593,120,"(1095, 270)",200002_001
0.6359017290006981,120,"(870, 120)",200002_001
0.638590934279029,120,"(945, 495)",200002_001
0.6404592170602783,120,"(945, 195)",200002_001
0.6408004211045872,120,"(1095, 420)",200002_001
0.6410894603023928,120,"(795, 120)",200002_001
